RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	27802	33623	1.449722	103.731389	1:26:59N	103:43:53E	48NUG5886960278	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIBULOH	Sungai Buloh	Sungai Buloh	BULOH SUNGAI	Buloh, Sungai	Buloh, Sungai		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73676	-107978	1.360833	103.982222	1:21:39N	103:58:56E	48NUG8677350437	NA48-10	H	STM		SN	00				N			Sungai	SUNGAITANAHMERAHBESAR	Sungai Tanah Merah Besar	Sungai Tanah Merah Besar	TANAHMERAHBESAR SUNGAI	Tanah Merah Besar, Sungai	Tanah Merah Besar, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23501	28321	1.190556	103.768333	1:11:26N	103:46:06E	48NUG6296531623	NA48-10	H	RF		SN	00				N			Terumbu	TERUMBUPEMALANGBESAR	Terumbu Pemalang Besar	Terumbu Pemalang Besar	PEMALANGBESAR TERUMBU	Pemalang Besar, Terumbu	Pemalang Besar, Terumbu		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23543	28381	1.273333	103.668333	1:16:24N	103:40:06E	48NUG5184240780	NA48-10	H	SHOL		SN	00				N				TRITONSHOAL	Triton Shoal	Triton Shoal	TRITONSHOAL	Triton Shoal	Triton Shoal		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	14102	16902	1.2175	103.738333	1:13:03N	103:44:18E	48NUG5962834603	NA48-10	H	ANCH		SN	00				N				SELATPAUHANCHORAGE	Selat Pauh Anchorage	Selat Pauh Anchorage	SELATPAUHANCHORAGE	Selat Pauh Anchorage	Selat Pauh Anchorage		1995-07-26	1	1			1993-09-01		
5	14117	16918	1.261944	103.686111	1:15:43N	103:41:10E	48NUG5381939520	NA48-10	H	SHOL		SN	00				N				MONGGOKTENGELAM	Monggok Tengelam	Monggok Tengelam	MONGGOKTENGELAM	Monggok Tengelam	Monggok Tengelam		1995-07-26	1,2	1			1993-09-01		
5	27625	33417	1.2725	103.653056	1:16:21N	103:39:11E	48NUG5014240689	NA48-10	H	STRT		SN	00				N				WESTJURONGFAIRWAY	West Jurong Fairway	West Jurong Fairway	WESTJURONGFAIRWAY	West Jurong Fairway	West Jurong Fairway		1995-07-26	1	1			1993-09-01		
5	31789	38835	1.261389	103.813333	1:15:41N	103:48:48E	48NUG6797639452	NA48-10	H	HBR		SN	00				N				CRUISEBAY	Cruise Bay	Cruise Bay	CRUISEBAY	Cruise Bay	Cruise Bay		1995-07-26	1	1			1993-09-01		
5	31809	38862	1.33	104.015	1:19:48N	104:00:54E	48NUG9041847027	NA48-10	H	SHOL		SN	00				N				REDCLIFFSHOAL	Red Cliff Shoal	Red Cliff Shoal	REDCLIFFSHOAL	Red Cliff Shoal	Red Cliff Shoal		1995-07-26	1,2	1			1993-09-01		
5	31741	38765	1.1975	103.805556	1:11:51N	103:48:20E	48NUG6710732389	NA48-10	H	SHOL		SN	00				N				MONGGOKSEBAROK	Monggok Sebarok	Monggok Sebarok	MONGGOKSEBAROK	Monggok Sebarok	Monggok Sebarok		1995-07-26	1	1			1993-09-01		
5	30462	37002	1.269722	103.835556	1:16:11N	103:50:08E	48NUG7044940372	NA48-10	H	DCK		SN	00				N				EMPIREDOCK	Empire Dock	Empire Dock	EMPIREDOCK	Empire Dock	Empire Dock		1995-07-26	1	1			1993-09-01		
5	23402	28211	1.3425	103.721667	1:20:33N	103:43:18E	48NUG5778048424	NA48-10	H	STM		SN	00				N			Sungai	SUNGAILANCHAR	Sungai Lanchar	Sungai Lanchar	LANCHAR SUNGAI	Lanchar, Sungai	Lanchar, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	27605	33391	1.307222	103.653611	1:18:26N	103:39:13E	48NUG5020544528	NA48-10	H	DCK		SN	00				N				SOUTHERNTUASBASIN	Southern Tuas Basin	Southern Tuas Basin	SOUTHERNTUASBASIN	Southern Tuas Basin	Southern Tuas Basin		1995-07-26	1	1			1993-09-01		
5	-73057	-107155	1.283333	103.7	1:17:00N	103:42:00E	48NUG5536641884	NA48-10	H	STM		SN	00				D			Sungai	SUNGAIAYERCHAWAN	Sungai Ayer Chawan	Sungai Ayer Chawan	AYERCHAWAN SUNGAI	Ayer Chawan, Sungai	Ayer Chawan, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73052	-107149	1.376389	103.950833	1:22:35N	103:57:03E	48NUG8328152158	NA48-10	H	CRKT		SN	00				N			Sungai	SUNGAIAPIAPI	Sungai Api Api	Sungai Api Api	APIAPI SUNGAI	Api Api, Sungai	Api Api, Sungai		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73036	-107127	1.283333	103.716667	1:17:00N	103:43:00E	48NUG5722141883	NA48-10	H	STM		SN	00				D			Sungai	SUNGAIACHIH	Sungai Achih	Sungai Achih	ACHIH SUNGAI	Achih, Sungai	Achih, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23414	28224	1.194722	103.73	1:11:41N	103:43:48E	48NUG5870032086	NA48-10	H	CHN		SN	00				N			Selat	SELATBERKAS	Selat Berkas	Selat Berkas	BERKAS SELAT	Berkas, Selat	Berkas, Selat		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	30454	36994	1.284444	103.84	1:17:04N	103:50:24E	48NUG7094441999	NA48-10	H	RSV		SN	00				N				PEARLSHILLRESERVOIR	Pearl’s Hill Reservoir	Pearl's Hill Reservoir	PEARLSHILLRESERVOIR	Pearl’s Hill Reservoir	Pearl's Hill Reservoir		1995-04-26	1,2,3	1			1995-04-26		
5	23174	27939	1.400278	103.673611	1:24:01N	103:40:25E	48NUG5243754815	NA48-10	H	RSV		SN	00				N				MURAIRESERVOIR	Murai Reservoir	Murai Reservoir	MURAIRESERVOIR	Murai Reservoir	Murai Reservoir		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73465	-107696	1.298889	103.756944	1:17:56N	103:45:25E	48NUG6170343601	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIPANDAN	Sungai Pandan	Sungai Pandan	PANDAN SUNGAI	Pandan, Sungai	Pandan, Sungai		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73459	-107686	1.461389	103.782778	1:27:41N	103:46:58E	48NUG6458761564	NA48-10	H	CHN		SN	00				N				ORDNANCEREACH	Ordnance Reach	Ordnance Reach	ORDNANCEREACH	Ordnance Reach	Ordnance Reach		1995-07-26	1,2,3,4,5	1			1995-07-26		
5	-73459	75235	1.461389	103.782778	1:27:41N	103:46:58E	48NUG6458761564	NA48-10	H	CHN		SN	00				V				ORDNANCE	Ordnance	Ordnance	ORDNANCE	Ordnance	Ordnance		1995-07-26	1,2,3,4,5				1995-07-26		
5	-73527	-107777	1.411944	103.851111	1:24:43N	103:51:04E	48NUG7218756094	NA48-10	H	STM		SN	00				N			Sungai	SUNGAIPUAKA	Sungai Puaka	Sungai Puaka	PUAKA SUNGAI	Puaka, Sungai	Puaka, Sungai		1995-04-27	1,2,3,4,5	1			1995-04-27		
