RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	14380	17221	1.223056	103.779444	1:13:23N	103:46:46E	48NUG6420335216	NA48-10	T	RK		SN	00				N			Batu	BATUKOPI	Batu Kopi	Batu Kopi	KOPI BATU	Kopi, Batu	Kopi, Batu		1995-07-26	1	1			1993-09-01		
5	26802	32364	1.420833	103.908056	1:25:15N	103:54:29E	48NUG7852457074	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGPUNGGOL	Tanjong Punggol	Tanjong Punggol	PUNGGOL TANJONG	Punggol, Tanjong	Punggol, Tanjong		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73539	-107793	1.391944	103.975556	1:23:31N	103:58:32E	48NUG8603253877	NA48-10	T	RK		SN	00				N			Batu	BATUPUTEH	Batu Puteh	Batu Puteh	PUTEH BATU	Puteh, Batu	Puteh, Batu		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73623	-107903	1.2775	103.7275	1:16:39N	103:43:39E	48NUG5842641237	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSERAYA	Pulau Seraya	Pulau Seraya	SERAYA PULAU	Seraya, Pulau	Seraya, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73623	-107892	1.2775	103.7275	1:16:39N	103:43:39E	48NUG5842641237	NA48-10	T	ISL		SN	00				V				POELAUSERAJA	Poelau Seraja	Poelau Seraja	SERAJA POELAU	Seraja, Poelau	Seraja, Poelau		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73401	-107607	1.284444	103.700278	1:17:04N	103:42:01E	48NUG5539742007	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGMAKAERIK	Tanjong Mak Aerik	Tanjong Mak Aerik	MAKAERIK TANJONG	Mak Aerik, Tanjong	Mak Aerik, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73393	-107597	1.213611	103.851667	1:12:49N	103:51:06E	48NUG7223934168	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGLOKOS	Tanjong Lokos	Tanjong Lokos	LOKOS TANJONG	Lokos, Tanjong	Lokos, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73712	-108025	1.389167	104.028611	1:23:21N	104:01:43E	48NUG9193553567	NA48-10	T	RKS		SN	00				N			Malang	MALANGTIGA	Malang Tiga	Malang Tiga	TIGA MALANG	Tiga, Malang	Tiga, Malang		1995-04-27	1,2,3,4,5	1			1995-04-26		
5	-73712	-107552	1.389167	104.028611	1:23:21N	104:01:43E	48NUG9193553567	NA48-10	T	RKS		SN	00				V				KAPALAROCKS	Kapala Rocks	Kapala Rocks	KAPALAROCKS	Kapala Rocks	Kapala Rocks		1995-04-27	1,2,3,4,5				1995-04-26		
5	-73589	-107859	1.404444	103.988056	1:24:16N	103:59:17E	48NUG8742455258	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSEKUDU	Pulau Sekudu	Pulau Sekudu	SEKUDU PULAU	Sekudu, Pulau	Sekudu, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73565	-107593	1.222222	103.855	1:13:20N	103:51:18E	48NUG7261035120	NA48-10	T	ISL		SN	00				V				LAZARUSISLAND	Lazarus Island	Lazarus Island	LAZARUSISLAND	Lazarus Island	Lazarus Island		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73565	-107342	1.222222	103.855	1:13:20N	103:51:18E	48NUG7261035120	NA48-10	T	ISL		SN	00				V				EASTSAINTJOHNISLAND	East Saint John Island	East Saint John Island	EASTSAINTJOHNISLAND	East Saint John Island	East Saint John Island		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73565	-107830	1.222222	103.855	1:13:20N	103:51:18E	48NUG7261035120	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSAKIJANGPELEPAH	Pulau Sakijang Pelepah	Pulau Sakijang Pelepah	SAKIJANGPELEPAH PULAU	Sakijang Pelepah, Pulau	Sakijang Pelepah, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73563	-107828	1.207222	103.778056	1:12:26N	103:46:41E	48NUG6404833465	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSAKENG	Pulau Sakeng	Pulau Sakeng	SAKENG PULAU	Sakeng, Pulau	Sakeng, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73563	-107909	1.207222	103.778056	1:12:26N	103:46:41E	48NUG6404833465	NA48-10	T	ISL		SN	00				V				POELAUSIKING	Poelau Siking	Poelau Siking	SIKING POELAU	Siking, Poelau	Siking, Poelau		1995-07-26	1,2,3,4,5				1993-09-01		
5	39784	50202	1.412222	103.993056	1:24:44N	103:59:35E	48NUG8798056118	NA48-10	T	BCH		SN	00				N				PULAUUBIBEACH	Pulau Ubi Beach	Pulau Ubi Beach	PULAUUBIBEACH	Pulau Ubi Beach	Pulau Ubi Beach		1995-04-27	1,2	1			1995-03-09		
5	27092	32714	1.383056	104.0325	1:22:59N	104:01:57E	48NUG9236752891	NA48-10	T	RK		SN	00				N				OUTERROCK	Outer Rock	Outer Rock	OUTERROCK	Outer Rock	Outer Rock		1995-04-27	1,2	1			1995-03-09		
5	-73071	-107170	1.288333	103.685556	1:17:18N	103:41:08E	48NUG5375942437	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGBAKAUPAYONG	Tanjong Bakau Payong	Tanjong Bakau Payong	BAKAUPAYONG TANJONG	Bakau Payong, Tanjong	Bakau Payong, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73174	-107316	1.289722	103.693611	1:17:23N	103:41:37E	48NUG5465642591	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGCHOMBUN	Tanjong Chombun	Tanjong Chombun	CHOMBUN TANJONG	Chombun, Tanjong	Chombun, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73174	-107315	1.289722	103.693611	1:17:23N	103:41:37E	48NUG5465642591	NA48-10	T	PT		SN	00				V				TANJONGCHOMBUM	Tanjong Chombum	Tanjong Chombum	CHOMBUM TANJONG	Chombum, Tanjong	Chombum, Tanjong		1995-07-26	1,2,3,4,5				1993-09-01		
5	-73161	-107298	1.374444	103.651389	1:22:28N	103:39:05E	48NUG4996251960	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGCHENTING	Tanjong Chenting	Tanjong Chenting	CHENTING TANJONG	Chenting, Tanjong	Chenting, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73245	-107417	1.4	103.95	1:24:00N	103:57:00E	48NUG8318954769	NA48-10	T	RKS		SN	00				D				JONESREEF	Jones Reef	Jones Reef	JONESREEF	Jones Reef	Jones Reef		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73207	-107364	1.425278	103.674722	1:25:31N	103:40:29E	48NUG5256257579	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGGEDONG	Tanjong Gedong	Tanjong Gedong	GEDONG TANJONG	Gedong, Tanjong	Gedong, Tanjong		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73197	-107350	1.278889	103.810833	1:16:44N	103:48:39E	48NUG6769941387	NA48-10	T	HLL		SN	00				V				BUKITFABER	Bukit Faber	Bukit Faber	FABER BUKIT	Faber, Bukit	Faber, Bukit		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73197	261113	1.278889	103.810833	1:16:44N	103:48:39E	48NUG6769941387	NA48-10	T	HLL		SN	00				V				MOUNTFABER	Mount Faber	Mount Faber	FABER MOUNT	Faber, Mount	Faber, Mount		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73197	-107351	1.278889	103.810833	1:16:44N	103:48:39E	48NUG6769941387	NA48-10	T	HLL		SN	00				N			Mount	MOUNTFABERII	Mount Faber II	Mount Faber II	FABERII MOUNT	Faber II, Mount	Faber II, Mount		1996-11-29	1,2,3,4,5,6	1			1993-09-01		
5	-73367	-107564	1.403611	103.949167	1:24:13N	103:56:57E	48NUG8309755168	NA48-10	T	ISL		SN	00				N			Pulau	PULAUKETAM	Pulau Ketam	Pulau Ketam	KETAM PULAU	Ketam, Pulau	Ketam, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73360	-107554	1.345	103.636111	1:20:42N	103:38:10E	48NUG4826048706	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGKARANG	Tanjong Karang	Tanjong Karang	KARANG TANJONG	Karang, Tanjong	Karang, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73652	-107947	1.27	103.706389	1:16:12N	103:42:23E	48NUG5607640409	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGSPAU	Tanjong Spau	Tanjong Spau	SPAU TANJONG	Spau, Tanjong	Spau, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73200	-107354	1.454722	103.866111	1:27:17N	103:51:58E	48NUG7385960823	NA48-10	T	SPIT		SN	00				N				FELKINSPIT	Felkin Spit	Felkin Spit	FELKINSPIT	Felkin Spit	Felkin Spit		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73514	-107760	1.29	103.703611	1:17:24N	103:42:13E	48NUG5576842621	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGPIDARA	Tanjong Pidara	Tanjong Pidara	PIDARA TANJONG	Pidara, Tanjong	Pidara, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23162	27927	1.290556	103.785278	1:17:26N	103:47:07E	48NUG6485642678	NA48-10	T	HLL		SN	00				N				MARINAHILL	Marina Hill	Marina Hill	MARINAHILL	Marina Hill	Marina Hill		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	23518	28348	1.208333	103.775278	1:12:30N	103:46:31E	48NUG6373933588	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGCHINA	Tanjong China	Tanjong China	CHINA TANJONG	China, Tanjong	China, Tanjong		1995-07-26	1	1			1993-09-01		
5	-73615	37063	1.25	103.826667	1:15:00N	103:49:36E	48NUG6945938192	NA48-10	T	ISLT		SN	00				V				SENTOSAISLAND	Sentosa Island	Sentosa Island	SENTOSAISLAND	Sentosa Island	Sentosa Island		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73615	-107219	1.25	103.826667	1:15:00N	103:49:36E	48NUG6945938192	NA48-10	T	ISLT		SN	00				V				PULAUBLAKANGMATI	Pulau Blakang Mati	Pulau Blakang Mati	BLAKANGMATI PULAU	Blakang Mati, Pulau	Blakang Mati, Pulau		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73615	-107891	1.25	103.826667	1:15:00N	103:49:36E	48NUG6945938192	NA48-10	T	ISLT		SN	00				N				SENTOSA	Sentosa	Sentosa	SENTOSA	Sentosa	Sentosa		1996-11-29	1,2,3,4,5,6	1			1993-09-01		
5	-73615	-107193	1.25	103.826667	1:15:00N	103:49:36E	48NUG6945938192	NA48-10	T	ISLT		SN	00				V				POELAUBELAKANGMATI	Poelau Belakangmati	Poelau Belakangmati	BELAKANGMATI POELAU	Belakangmati, Poelau	Belakangmati, Poelau		1996-11-29	1,2,3,4,5,6				1993-09-01		
5	-73703	-108016	1.260556	103.836667	1:15:38N	103:50:12E	48NUG7057239358	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGTEREH	Tanjong Tereh	Tanjong Tereh	TEREH TANJONG	Tereh, Tanjong	Tereh, Tanjong		1995-07-26	1,2,3,4,5	1			1995-07-26		
5	-73556	-107818	1.2175	103.758889	1:13:03N	103:45:32E	48NUG6191634602	NA48-10	T	PT		SN	00				N			Tanjong	TANJONGROMOS	Tanjong Romos	Tanjong Romos	ROMOS TANJONG	Romos, Tanjong	Romos, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73195	-107348	1.303889	103.848333	1:18:14N	103:50:54E	48NUG7187344148	NA48-10	T	HLL		SN	00				N			Mount	MOUNTEMILY	Mount Emily	Mount Emily	EMILY MOUNT	Emily, Mount	Emily, Mount		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73500	-107744	1.398056	103.661389	1:23:53N	103:39:41E	48NUG5107754570	NA48-10	T	ISL		SN	00				N			Pulau	PULAUPERGAM	Pulau Pergam	Pulau Pergam	PERGAM PULAU	Pergam, Pulau	Pergam, Pulau		1995-04-27	1,2,3,4,5	1			1995-04-27		
5	-73576	-107966	1.395	104.066389	1:23:42N	104:03:59E	48NUG9613854210	NA48-10	T	ISL		SN	00				V				SUNJUNGKONG	Sunjungkong	Sunjungkong	SUNJUNGKONG	Sunjungkong	Sunjungkong		1995-04-27	1,2,3,4,5				1995-03-09		
5	-73576	-107856	1.395	104.066389	1:23:42N	104:03:59E	48NUG9613854210	NA48-10	T	ISL		SN	00				V				PULAUSEJUNGKONG	Pulau Sejungkong	Pulau Sejungkong	SEJUNGKONG PULAU	Sejungkong, Pulau	Sejungkong, Pulau		1995-04-27	1,2,3,4,5				1995-03-09		
5	-73576	-107843	1.395	104.066389	1:23:42N	104:03:59E	48NUG9613854210	NA48-10	T	ISL		SN	00				D			Pulau	PULAUSANYONGKONG	Pulau Sanyongkong	Pulau Sanyongkong	SANYONGKONG PULAU	Sanyongkong, Pulau	Sanyongkong, Pulau		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	-73484	-107721	1.186389	103.725278	1:11:11N	103:43:31E	48NUG5817431164	NA48-10	T	ISL		SN	00				N			Pulau	PULAUPAWAI	Pulau Pawai	Pulau Pawai	PAWAI PULAU	Pawai, Pulau	Pawai, Pulau		1996-11-29	1,2,3,4,5	1			1993-09-01		
5	-73484	-107141	1.186389	103.725278	1:11:11N	103:43:31E	48NUG5817431164	NA48-10	T	ISL		SN	00				V				ALLIGATOREILAND	Alligator-eiland	Alligator-eiland	ALLIGATOREILAND	Alligator-eiland	Alligator-eiland		1996-11-29	1,2,3,4,5				1993-09-01		
5	-73421	-107639	1.333333	103.983333	1:20:00N	103:59:00E	48NUG8689547397	NA48-10	T	PT		SN	00				D			Tanjong	TANJONGMENGKWANG	Tanjong Mengkwang	Tanjong Mengkwang	MENGKWANG TANJONG	Mengkwang, Tanjong	Mengkwang, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73571	-107837	1.216389	103.706944	1:12:59N	103:42:25E	48NUG5613534482	NA48-10	T	ISL		SN	00				N			Pulau	PULAUSALU	Pulau Salu	Pulau Salu	SALU PULAU	Salu, Pulau	Salu, Pulau		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73083	-107187	1.400278	104.071111	1:24:01N	104:04:16E	48NUG9666454794	NA48-10	T	PT		SN	00				D			Tanjong	TANJONGBATUPENGKALANPAKAU	Tanjong Batu Pengkalan Pakau	Tanjong Batu Pengkalan Pakau	BATUPENGKALANPAKAU TANJONG	Batu Pengkalan Pakau, Tanjong	Batu Pengkalan Pakau, Tanjong		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73471	-107702	1.372778	103.754444	1:22:22N	103:45:16E	48NUG6142951770	NA48-10	T	HLL		SN	00				N			Bukit	BUKITPANJANG	Bukit Panjang	Bukit Panjang	PANJANG BUKIT	Panjang, Bukit	Panjang, Bukit		1995-07-26	1,2,3,4,5	1			1993-09-01		
5	-73061	-107160	1.267778	103.716389	1:16:04N	103:42:59E	48NUG5718940163	NA48-10	T	ISL		SN	00				N			Pulau	PULAUAYERMERBAU	Pulau Ayer Merbau	Pulau Ayer Merbau	AYERMERBAU PULAU	Ayer Merbau, Pulau	Ayer Merbau, Pulau		1996-11-29	1,2,3,4,5	1			1993-09-01		
5	-73061	-107134	1.267778	103.716389	1:16:04N	103:42:59E	48NUG5718940163	NA48-10	T	ISL		SN	00				V				POELAUAIRMERBALI	Poelau Airmerbali	Poelau Airmerbali	AIRMERBALI POELAU	Airmerbali, Poelau	Airmerbali, Poelau		1996-11-29	1,2,3,4,5				1993-09-01		
