RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
5	27556	33338	1.330556	103.730833	1:19:50N	103:43:51E	48NUG5880047103	NA48-10	L	RESN		SN	00				N				TROPICALGARDEN	Tropical Garden	Tropical Garden	TROPICALGARDEN	Tropical Garden	Tropical Garden		1995-07-26	1	1			1993-09-01		
5	26789	32350	1.375556	103.897222	1:22:32N	103:53:50E	48NUG7731652069	NA48-10	P	PPL		SN	00				N				SERANGOON	Serangoon	Serangoon	SERANGOON	Serangoon	Serangoon		1995-04-27	1	1			1995-03-09		
5	26790	32352	1.376111	103.901667	1:22:34N	103:54:06E	48NUG7781152130	NA48-10	P	PPL		SN	00				N				KANGKAR	Kangkar	Kangkar	KANGKAR	Kangkar	Kangkar		1995-04-27	1	1			1995-03-09		
5	26803	32365	1.420833	103.911944	1:25:15N	103:54:43E	48NUG7895657074	NA48-10	T	PT		SN	00				N				PONGGOLPOINT	Ponggol Point	Ponggol Point	PONGGOLPOINT	Ponggol Point	Ponggol Point		1995-04-27	1,2,3,4,5	1			1995-03-09		
5	39741	50137	1.404167	103.918333	1:24:15N	103:55:06E	48NUG7966655231	NA48-10	L	PRT		SN	00				N				PUNGGOLFISHINGPORT	Punggol Fishing Port	Punggol Fishing Port	PUNGGOLFISHINGPORT	Punggol Fishing Port	Punggol Fishing Port		1995-04-27	1,2	1			1995-03-09		
5	41096	51947	1.285278	103.804444	1:17:07N	103:48:16E	48NUG6698842093	NA48-10	L	INDS		SN	00				N				ALEXANDRAVILLAGE	Alexandra Village	Alexandra Village	ALEXANDRAVILLAGE	Alexandra Village	Alexandra Village		1995-04-26	1,2,3	1			1995-04-26		
5	41102	51955	1.286667	103.7125	1:17:12N	103:42:45E	48NUG5675742252	NA48-10	L	INDS		SN	00				N				PULAUMERLIMAUINDUSTRIALESTATE	Pulau Merlimau Industrial Estate	Pulau Merlimau Industrial Estate	PULAUMERLIMAUINDUSTRIALESTATE	Pulau Merlimau Industrial Estate	Pulau Merlimau Industrial Estate		1995-04-26	1,2,3	1			1995-04-26		
5	41107	51961	1.285556	103.688611	1:17:08N	103:41:19E	48NUG5409942130	NA48-10	L	INDS		SN	00				N				PULAUPESEKINDUSTRIALESTATE	Pulau Pesek Industrial Estate	Pulau Pesek Industrial Estate	PULAUPESEKINDUSTRIALESTATE	Pulau Pesek Industrial Estate	Pulau Pesek Industrial Estate		1995-04-26	1,2,3	1			1995-04-26		
5	41108	51963	1.277778	103.727778	1:16:40N	103:43:40E	48NUG5845741268	NA48-10	L	INDS		SN	00				N				PULAUSERAYAINDUSTRIALESTATE	Pulau Seraya Industrial Estate	Pulau Seraya Industrial Estate	PULAUSERAYAINDUSTRIALESTATE	Pulau Seraya Industrial Estate	Pulau Seraya Industrial Estate		1995-07-26	1,2,3	1			1995-07-26		
5	41109	51965	1.304444	103.794722	1:18:16N	103:47:41E	48NUG6590744213	NA48-10	L	INDS		SN	00				N		Tanglin Halt		TANGLINHALTINDUSTRIALESTATE	Tanglin Halt Industrial Estate	Tanglin Halt Industrial Estate	TANGLINHALTINDUSTRIALESTATE	Tanglin Halt Industrial Estate	Tanglin Halt Industrial Estate		1995-07-26	1,2,3,4,5	1			1995-07-26		
